Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
R.K.TRAILORS,0,0,0,0,1,26,35,15,9,17,102
R M PANCHAL,321,45,0,0,0,0,0,0,1,0,1
R.M.S ENGINEERING WORKS MDL,"5,620","6,544","2,836","1,562",931,0,0,0,1,0,1
R.N.A.I.P.LTD,836,"1,002",1,0,0,0,252,"3,570","5,703","5,647","15,172"
RN GUPTA AND COMPANY LTD,568,"1,156",720,224,122,0,1,2,9,0,12
R.N.GUPTA & CO LTD,"4,521","6,727","3,563",386,0,6,15,8,3,0,32
ROARLEO MOTOR PVT LTD,33,79,11,3,0,52,88,59,0,0,199
ROHAN AUTOMOBILES,14,78,37,23,15,0,0,1,0,0,1
"ROHAN & SOHAN INTR.,CTC",83,31,70,10,0,0,1,0,0,1,2
ROLLS ROYCE,61,135,260,90,0,19,32,27,33,57,168
ROMAN AGRO IND,0,0,0,0,2,0,0,0,0,3,3
